Time	Spindle-Input-1	Spindle-Input-2	Spindle-Input-3	Spindle-Input-4-T	Spindle-Input-4-V	Spindle-Input-4-p	Spindle-Output-1	Spindle-Output-2	Spindle-Output-3	Spindle-Output-4	Spindle-Output-5	Spindle-Output-6-T	Spindle-Output-6-V	Spindle-Output-6-p	Spindle-State-1	Spindle-State-2	ForcedFluidFlow-Input-1	ForcedFluidFlow-Input-2	ForcedFluidFlow-Input-3	ForcedFluidFlow-Input-4-T	ForcedFluidFlow-Input-4-V	ForcedFluidFlow-Input-4-p	ForcedFluidFlow-Output-1	ForcedFluidFlow-Output-2	ForcedFluidFlow-Output-3-T	ForcedFluidFlow-Output-3-V	ForcedFluidFlow-Output-3-p	RotSpeed-Sim	RotSpeed-Sim	Torque-Sim	Torque-Sim	TemperatureIn-Sim	TemperatureIn-Sim	PressureIn-Sim	PressureIn-Sim	FlowRate-Sim	FlowRate-Sim	State-Sim	State-Sim
   	Spindle.State	Spindle.RotSpeed	Spindle.Torque	Spindle.CoolantIn-Temperature	Spindle.CoolantIn-FlowRate	Spindle.CoolantIn-Pressure	Spindle.PTotal	Spindle.PLoss	Spindle.PUse	Spindle.CAirFlow	Spindle.Temperature	Spindle.CoolantOut-Temperature	Spindle.CoolantOut-FlowRate	Spindle.CoolantOut-Pressure	Spindle.State.TemperatureStructure	Spindle.State.TemperatureCoolant	ForcedFluidFlow.TemperatureIn	ForcedFluidFlow.PressureIn	ForcedFluidFlow.FlowRate	ForcedFluidFlow.FluidIn-Temperature	ForcedFluidFlow.FluidIn-FlowRate	ForcedFluidFlow.FluidIn-Pressure	ForcedFluidFlow.TemperatureRaise	ForcedFluidFlow.PressureLoss	ForcedFluidFlow.FluidOut-Temperature	ForcedFluidFlow.FluidOut-FlowRate	ForcedFluidFlow.FluidOut-Pressure	RotSpeed State	RotSpeed Value	Torque State	Torque Value	TemperatureIn State	TemperatureIn Value	PressureIn State	PressureIn Value	FlowRate State	FlowRate Value	State State	State Value
[s]	[none]	[Hz]	[Nm]	[K]	[m³/s]	[Pa]	[W]	[W]	[W]	[none]	[K]	[K]	[m³/s]	[Pa]	[K]	[K]	[K]	[Pa]	[m³/s]	[K]	[m³/s]	[Pa]	[K]	[Pa]	[K]	[m³/s]	[Pa]	       	[Hz]	       	[Nm]	       	[K]	       	[Pa]	       	[m³/s]	       	[none]
19.00	0.0	0.0	0.0	293.15	9.666667771447856E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1499999999998	9.666667771447856E-5	124281.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1499999999998	9.666668247758792E-5	124281.0	-1.7053025658242404E-13	175719.0	293.15	9.666668247758792E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
20.00	0.0	0.0	0.0	293.15	9.666669096641333E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666669096641333E-5	124282.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.15000000000015	9.666668828174831E-5	124282.0	1.7053025658242404E-13	175718.0	293.15	9.666668828174831E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
21.00	0.0	0.0	0.0	293.15	9.666673381425655E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666673381425655E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.1500000000003	9.666670226995057E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666670226995057E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
22.00	0.0	0.0	0.0	293.15	9.666667771447856E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666667771447856E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000001	9.666668247758792E-5	124281.0	1.1368683772161603E-13	175719.0	293.15	9.666668247758792E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
23.00	0.0	0.0	0.0	293.15	9.666669096641333E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666669096641333E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668828174831E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666668828174831E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
24.00	0.0	0.0	0.0	293.15	9.666673381425655E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666673381425655E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15000000000015	9.666670226995057E-5	124282.0	1.7053025658242404E-13	175718.0	293.15	9.666670226995057E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
25.00	0.0	0.0	0.0	293.15	9.666667771447856E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666667771447856E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000001	9.666668247758792E-5	124281.0	1.1368683772161603E-13	175719.0	293.15	9.666668247758792E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
26.00	0.0	0.0	0.0	293.15	9.666669096641333E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666669096641333E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668828174831E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666668828174831E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
27.00	0.0	0.0	0.0	293.15	9.666673381425655E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666673381425655E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15000000000015	9.666670226995057E-5	124282.0	1.7053025658242404E-13	175718.0	293.15	9.666670226995057E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
28.00	0.0	0.0	0.0	293.15	9.666667771447856E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666667771447856E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000001	9.666668247758792E-5	124281.0	1.1368683772161603E-13	175719.0	293.15	9.666668247758792E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
29.00	0.0	0.0	0.0	293.15	9.666669096641333E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666669096641333E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668828174831E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666668828174831E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
30.00	0.0	0.0	0.0	293.15	9.666673381425655E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666673381425655E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15000000000015	9.666670226995057E-5	124282.0	1.7053025658242404E-13	175718.0	293.15	9.666670226995057E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
31.00	0.0	0.0	0.0	293.15	9.666667771447856E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666667771447856E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000001	9.666668247758792E-5	124281.0	1.1368683772161603E-13	175719.0	293.15	9.666668247758792E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
32.00	0.0	0.0	0.0	293.15	9.666669096641333E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666669096641333E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668828174831E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666668828174831E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
33.00	0.0	0.0	0.0	293.15	9.666673381425655E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666673381425655E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15000000000015	9.666670226995057E-5	124282.0	1.7053025658242404E-13	175718.0	293.15	9.666670226995057E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
34.00	0.0	0.0	0.0	293.15	9.666667771447856E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666667771447856E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000001	9.666668247758792E-5	124281.0	1.1368683772161603E-13	175719.0	293.15	9.666668247758792E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
35.00	0.0	0.0	0.0	293.15	9.666669096641333E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666669096641333E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668828174831E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666668828174831E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
36.00	0.0	0.0	0.0	293.15	9.666673381425655E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666673381425655E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15000000000015	9.666670226995057E-5	124282.0	1.7053025658242404E-13	175718.0	293.15	9.666670226995057E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
37.00	0.0	0.0	0.0	293.15	9.666667771447856E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666667771447856E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000001	9.666668247758792E-5	124281.0	1.1368683772161603E-13	175719.0	293.15	9.666668247758792E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
38.00	0.0	0.0	0.0	293.15	9.666669096641333E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666669096641333E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668828174831E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666668828174831E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
39.00	0.0	0.0	0.0	293.15	9.666673381425655E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666673381425655E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15000000000015	9.666670226995057E-5	124282.0	1.7053025658242404E-13	175718.0	293.15	9.666670226995057E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
40.00	0.0	0.0	0.0	293.15	9.666667771447856E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666667771447856E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000001	9.666668247758792E-5	124281.0	1.1368683772161603E-13	175719.0	293.15	9.666668247758792E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
41.00	0.0	0.0	0.0	293.15	9.666669096641333E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666669096641333E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668828174831E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666668828174831E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
42.00	0.0	0.0	0.0	293.15	9.666673381425655E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666673381425655E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15000000000015	9.666670226995057E-5	124282.0	1.7053025658242404E-13	175718.0	293.15	9.666670226995057E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
43.00	0.0	0.0	0.0	293.15	9.666667771447856E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000001	9.666667771447856E-5	124281.0	293.1499999999999	293.1500000000003	293.15	300000.0	9.666666E-5	293.1500000000001	9.666668247758792E-5	124281.0	1.1368683772161603E-13	175719.0	293.15	9.666668247758792E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
44.00	0.0	0.0	0.0	293.15	9.666669096641333E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.1500000000003	9.666669096641333E-5	124282.0	293.1499999999999	293.15000000000015	293.15	300000.0	9.666666E-5	293.1500000000003	9.666668828174831E-5	124282.0	3.410605131648481E-13	175718.0	293.15	9.666668828174831E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
45.00	0.0	0.0	0.0	293.15	9.666673381425655E-5	300000.0	0.0	0.0	0.0	0.0	293.1499999999999	293.15000000000015	9.666673381425655E-5	124282.0	293.1499999999999	293.1500000000001	293.15	300000.0	9.666666E-5	293.15000000000015	9.666670226995057E-5	124282.0	1.7053025658242404E-13	175718.0	293.15	9.666670226995057E-5	300000.0	OFF	0.0	OFF	0.0	ON	293.15	ON	300000.0	ON	9.666666E-5	OFF	0.0
